Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
DDDS-601-300,53,0,37,0,8,0,6,104,3.259,0,0,0,0,104,LOGAN S
DDDS-602-300,70,0,31,0,3,0,0,104,3.644,0,0,0,0,104,KESTERKE M
DDDS-603-300,37,0,56,0,9,0,1,103,3.242,0,0,0,0,103,RUEST L
DDDS-604-300,17,0,62,0,21,0,2,102,2.901,1,0,0,0,103,HONEYMAN A
DDDS-605-300,94,0,9,0,0,0,0,103,3.912,0,0,0,0,103,MANSOUR M
DDDS-611-300,96,0,7,0,0,0,0,103,3.932,0,0,0,0,103,BITOUNI A
DDDS-612-300,98,0,5,0,0,0,0,103,3.951,0,0,0,0,103,HENNESSY B
DDDS-614-300,46,0,55,0,3,0,0,104,3.413,0,0,0,0,104,CRAMER G
DDDS-615-300,60,0,42,0,1,0,0,103,3.572,0,0,0,0,103,CRAMER G
DDDS-701-300,36,0,43,0,16,0,9,104,2.932,0,0,0,0,104,REUBEN J
DDDS-702-300,45,0,45,0,13,0,1,104,3.278,0,0,0,0,104,WOO V
DDDS-711-300,102,0,2,0,0,0,0,104,3.980,0,0,0,0,104,SIMONS P
DDDS-714-300,102,0,0,0,0,0,0,102,4.000,2,0,0,0,104,BARRINGTON J
DDDS-716-300,40,0,54,0,0,0,0,94,3.425,10,0,0,0,104,REGAN D
DDDS-717-300,64,0,40,0,0,0,0,104,3.615,0,0,0,0,104,MANN A
DDDS-718-300,58,0,40,0,0,0,0,98,3.591,6,0,0,0,104,BURNETT J
DDDS-719-300,84,0,19,0,0,0,1,104,3.778,0,0,0,0,104,BUIE C
DDDS-721-300,84,0,19,0,1,0,0,104,3.798,0,0,0,0,104,HENNESSY B
DDDS-731-300,92,0,12,0,0,0,0,104,3.884,0,0,0,0,104,GONZALEZ M
DDDS-741-300,76,0,27,0,1,0,0,104,3.721,0,0,0,0,104,GONZALEZ M
DDDS-742-300,56,0,41,0,7,0,0,104,3.471,0,0,0,0,104,BENDER S
DDDS-761-300,48,0,54,0,2,0,0,104,3.442,0,0,0,0,104,TAYLOR R
DDDS-771-300,58,0,44,0,2,0,0,104,3.538,0,0,0,0,104,MCWHORTER A
DDDS-802-300,55,0,34,0,8,0,5,102,3.313,1,0,0,0,103,REUBEN J
DDDS-814-300,49,0,39,0,0,0,0,88,3.556,15,0,0,0,103,BARRINGTON J
DDDS-818-300,48,0,54,0,1,0,0,103,3.456,0,0,0,0,103,ALLEN S
DDDS-819-300,90,0,10,0,1,0,0,101,3.881,2,0,0,0,103,CHU C
DDDS-821-300,85,0,17,0,1,0,0,103,3.815,0,0,0,0,103,WOO V
DDDS-841-300,58,0,44,0,0,0,0,102,3.568,1,0,0,0,103,TRIPLETT R
DDDS-861-300,62,0,30,0,9,0,0,101,3.524,2,0,0,0,103,TAYLOR R
DDDS-871-300,81,0,19,0,2,0,0,102,3.774,1,0,0,0,103,MCWHORTER A
DDDS-9044-300,14,0,88,0,1,0,1,104,3.096,0,0,0,0,104,BARRINGTON J
DDDS-9070-300,44,0,56,0,4,0,0,104,3.384,0,0,0,0,104,TAYLOR R
DDDS-9080-300,101,0,3,0,0,0,0,104,3.971,0,0,0,0,104,LIESCHESKI J
DDDS-9090-300,25,0,58,0,16,0,2,101,3.029,3,0,0,0,104,MCWHORTER A
DDDS-9110-300,25,0,55,0,24,0,0,104,3.009,0,0,0,0,104,REUBEN J
DDDS-9140-300,93,0,10,0,1,0,0,104,3.884,0,0,0,0,104,SIMONS P
DDDS-9190-300,92,0,11,0,1,0,0,104,3.875,0,0,0,0,104,PATEL P
DDDS-9230-300,39,0,49,0,10,0,6,104,3.105,0,0,0,0,104,GLICKMAN G
DDDS-9230-301,0,0,0,0,6,0,0,6,2.000,0,0,0,0,6,GLICKMAN G
DEPARTMENT TOTAL:,2477,0,1321,0,172,0,34,4004,3.491,44,0,0,0,4048
COLLEGE TOTAL:,2477,0,1321,0,172,0,34,4004,3.491,44,0,0,0,4048
