Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
DDDS-601-300,54,0,35,0,14,0,3,106,3.292,0,0,0,0,106,SVOBODA K
DDDS-602-300,68,0,27,0,11,0,0,106,3.537,0,0,0,0,106,KESTERKE M
DDDS-603-300,36,0,52,0,12,0,3,103,3.145,2,0,0,0,105,RUEST L
DDDS-604-300,24,0,62,0,17,0,2,105,3.009,0,0,0,0,105,HONEYMAN A
DDDS-605-300,86,0,19,0,0,0,0,105,3.819,0,0,0,0,105,MANSOUR M
DDDS-611-300,3,0,84,0,17,0,1,105,2.838,0,0,0,0,105,DECHOW P
DDDS-612-300,100,0,5,0,0,0,0,105,3.952,0,0,0,0,105,HENNESSY B
DDDS-614-300,39,0,56,0,8,0,0,103,3.300,3,0,0,0,106,CRAMER G
DDDS-615-300,51,0,52,0,2,0,0,105,3.466,0,0,0,0,105,CRAMER G
DDDS-701-300,67,0,33,0,3,0,0,103,3.621,0,0,0,0,103,REUBEN J
DDDS-702-300,64,0,34,0,5,0,0,103,3.572,0,0,0,0,103,WOO V
DDDS-711-300,103,0,0,0,0,0,0,103,4.000,0,0,0,0,103,SIMONS P
DDDS-714-300,103,0,0,0,0,0,0,103,4.000,0,0,0,0,103,BARRINGTON J
DDDS-716-300,75,0,23,0,1,0,0,99,3.747,4,0,0,0,103,ALLEN S
DDDS-717-300,67,0,22,0,0,0,0,89,3.752,14,0,0,0,103,ALLEN S
DDDS-718-300,51,0,48,0,3,0,1,103,3.436,0,0,0,0,103,ALLEN S
DDDS-719-300,87,0,16,0,0,0,0,103,3.844,0,0,0,0,103,ALLEN S
DDDS-721-300,96,0,7,0,0,0,0,103,3.932,0,0,0,0,103,HENNESSY B
DDDS-7270-301,1,0,4,0,1,0,0,6,3.000,0,0,0,0,6,REGAN D
DDDS-731-300,80,0,24,0,1,0,0,105,3.752,0,0,0,0,105,GONZALEZ M
DDDS-741-300,81,0,22,0,0,0,0,103,3.786,0,0,0,0,103,GONZALEZ M
DDDS-742-300,105,0,0,0,0,0,0,105,4.000,0,0,0,0,105,ELLIS M
DDDS-761-300,81,0,22,0,0,0,0,103,3.786,0,0,0,0,103,TAYLOR R
DDDS-771-300,73,0,25,0,1,0,0,99,3.727,4,0,0,0,103,MCWHORTER A
DDDS-8004-300,93,0,1,0,0,0,0,94,3.989,10,0,0,0,104,BARRINGTON J
DDDS-8034-300,63,0,0,0,0,0,0,63,4.000,41,0,0,0,104,BARRINGTON J
DDDS-8060-300,44,0,53,0,6,0,1,104,3.336,0,0,0,1,105,SCHWEITZER J
DDDS-8064-300,70,0,26,0,4,0,0,100,3.660,4,0,0,0,104,BARRINGTON J
DDDS-8080-300,38,0,51,0,10,0,6,105,3.095,0,0,0,0,105,ROTHMAN STOLER A
DDDS-8080-301,0,0,2,0,3,0,0,5,2.400,0,0,0,0,5,ROTHMAN STOLER A
DDDS-8084-300,9,0,87,0,8,0,0,104,3.009,0,0,0,0,104,BARRINGTON J
DDDS-8140-300,23,0,22,0,1,0,0,46,3.478,59,0,0,0,105,TIMOTHE P
DDDS-8160-300,88,0,16,0,0,0,0,104,3.846,0,0,0,0,104,GONZALEZ M
DDDS-8180-300,38,0,60,0,5,0,1,104,3.288,0,0,0,0,104,KONTOGIORGOS D
DDDS-8200-300,103,0,1,0,0,0,0,104,3.990,0,0,0,0,104,MILLER A
DDDS-8204-300,104,0,0,0,0,0,0,104,4.000,0,0,0,0,104,ALLEN S
DDDS-8220-300,71,0,32,0,2,0,0,105,3.657,0,0,0,0,105,CRAMER G
DDDS-8224-300,16,0,83,0,5,0,0,104,3.105,0,0,0,0,104,BARRINGTON J
DDDS-8240-300,37,0,44,0,14,0,9,104,2.961,0,0,0,1,105,GONZALEZ M
DDDS-8241-300,27,0,69,0,7,0,1,104,3.163,0,0,0,0,104,READ FULLER A
DDDS-8280-300,85,0,19,0,0,0,0,104,3.817,1,0,0,0,105,WOO V
DDDS-8304-300,103,0,0,0,0,0,0,103,4.000,1,0,0,0,104,TAHMASBI
DDDS-8320-300,28,0,67,0,7,0,0,102,3.205,2,0,0,0,104,TAYLOR R
DDDS-8324-300,77,0,19,0,8,0,0,104,3.663,0,0,0,0,104,TAYLOR R
DDDS-8340-300,51,0,50,0,3,0,0,104,3.461,0,0,0,0,104,MCWHORTER A
DDDS-8360-300,45,0,49,0,7,0,3,104,3.278,0,0,0,0,104,REGAN D
DDDS-8360-301,0,0,4,0,1,0,0,5,2.800,0,0,0,0,5,REGAN D
DDDS-8364-300,14,0,57,0,1,0,0,72,3.180,32,0,0,0,104,BARRINGTON J
DDDS-8370-300,103,0,2,0,0,0,0,105,3.980,0,0,0,0,105,SIMONS P
DDDS-8380-300,34,0,56,0,12,0,2,104,3.153,1,0,0,0,105,REUBEN J
DDDS-8400-300,44,0,50,0,5,0,1,100,3.360,5,0,0,0,105,ALLEN S
DDDS-8404-300,76,0,24,0,0,0,0,100,3.760,4,0,0,0,104,BARRINGTON J
DDDS-8500-300,75,0,27,0,0,0,2,104,3.663,1,0,0,0,105,GONZALEZ M
DDDS-8600-300,51,0,49,0,2,0,1,103,3.446,1,0,0,0,104,ALLEN S
DDDS-8610-300,66,0,28,0,4,0,7,105,3.390,0,0,0,0,105,REGAN D
DDDS-8610-301,4,0,3,0,0,0,0,7,3.571,0,0,0,0,7,REGAN D
DDDS-9040-301,84,0,16,0,4,0,0,104,3.769,0,0,0,0,104,TALEGHANI ESFAH M
DDDS-9044-300,27,0,75,0,0,0,0,102,3.264,0,0,0,0,102,BARRINGTON J
DDDS-9070-300,44,0,51,0,7,0,0,102,3.362,0,0,0,0,102,TAYLOR R
DDDS-9080-300,102,0,0,0,0,0,0,102,4.000,0,0,0,0,102,LIESCHESKI J
DDDS-9090-300,60,0,37,0,1,0,0,98,3.602,4,0,0,0,102,MCWHORTER A
DDDS-9110-300,69,0,20,0,13,0,0,102,3.549,0,0,0,0,102,REUBEN J
DDDS-9140-300,98,0,4,0,0,0,0,102,3.960,0,0,0,0,102,SIMONS P
DDDS-9190-300,89,0,13,0,0,0,0,102,3.872,0,0,0,0,102,PATEL P
DDDS-9230-300,32,0,52,0,17,0,1,102,3.117,0,0,0,0,102,GLICKMAN G
DEPARTMENT TOTAL:,3880,0,1991,0,253,0,45,6169,3.492,193,0,0,2,6364
COLLEGE TOTAL:,3880,0,1991,0,253,0,45,6169,3.492,193,0,0,2,6364
