Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
DDDS-6510-300,62,15,19,2,7,0,0,105,3.585,0,0,0,0,105,GROPPE J
DDDS-6520-300,59,25,18,1,0,0,0,103,3.689,0,0,0,0,103,NOUREL-DIN A
DDDS-6540-300,14,21,29,14,21,4,2,105,2.833,0,0,0,0,105,MCDONALD S
DDDS-6543-300,8,21,52,15,8,1,0,105,3.009,0,0,0,0,105,MCDONALD S
DDDS-6580-300,61,30,11,1,0,0,0,103,3.733,0,0,0,0,103,CRAMER G
DDDS-6600-300,23,14,31,18,13,4,2,105,2.942,0,0,0,0,105,SVOBODA K
DDDS-6640-300,38,16,31,9,10,0,1,105,3.271,0,0,0,0,105,WANG Q
DDDS-6660-300,33,7,24,20,19,1,1,105,3.023,0,0,0,0,105,BUSCHANG P
DDDS-6690-300,103,2,0,0,0,0,0,105,3.990,0,0,0,0,105,JONES D
DDDS-6730-300,92,12,1,0,0,0,0,105,3.933,0,0,0,0,105,COBB S
DDDS-6740-300,8,4,30,21,19,16,7,105,2.309,0,0,0,0,105,HONEYMAN A
DDDS-6770-300,15,16,34,19,17,2,0,103,2.927,0,0,0,0,103,BENSON M
DDDS-6800-300,18,18,33,14,14,6,0,103,2.941,0,0,0,0,103,MCDONALD S
DDDS-6804-300,95,6,2,0,0,0,0,103,3.951,0,0,0,0,103,MCDONALD S
DDDS-6820-300,26,11,27,15,15,8,0,102,2.931,1,0,0,0,103,QIN C
DDDS-6840-300,97,6,0,0,0,0,0,103,3.970,0,0,0,0,103,MASH L
DDDS-6844-300,40,35,25,3,0,0,0,103,3.543,0,0,0,0,103,MASH L
DDDS-6860-300,37,27,31,8,0,0,0,103,3.451,0,0,0,0,103,DECHOW P
DDDS-6870-300,18,5,28,12,29,9,0,101,2.678,2,0,0,0,103,RUEST L
DDDS-6880-300,24,7,39,13,17,3,0,103,2.980,0,0,0,0,103,WRIGHT J
DDDS-7010-300,40,27,23,9,5,0,0,104,3.423,0,0,0,0,104,BENINGER C
DDDS-7020-300,17,27,28,14,15,0,3,104,2.995,0,0,0,0,104,JALALI S
DDDS-7024-300,42,36,24,0,2,0,0,104,3.557,0,0,0,0,104,JALALI S
DDDS-7040-300,30,32,30,6,5,1,0,104,3.346,0,0,0,0,104,BUIE C
DDDS-7044-300,14,25,55,5,5,0,0,104,3.182,0,0,0,0,104,BURNETT J
DDDS-7080-300,100,1,2,0,0,0,0,103,3.975,1,0,0,0,104,GANNAWAY M
DDDS-7100-300,40,19,41,3,1,0,0,104,3.451,0,0,0,0,104,MASH L
DDDS-7104-300,25,25,43,9,2,0,0,104,3.298,0,0,0,0,104,MASH L
DDDS-7120-300,11,25,42,18,6,1,1,104,3.033,0,0,0,0,104,GROGAN D
DDDS-7140-300,85,4,11,3,1,0,0,104,3.812,0,0,0,0,104,HENNESSY B
DDDS-7160-300,25,10,29,16,20,3,1,104,2.932,0,0,0,0,104,WRIGHT J
DDDS-7170-300,38,18,34,10,3,1,0,104,3.355,0,0,0,0,104,LIANG H
DDDS-7190-300,40,16,31,11,5,1,0,104,3.341,0,0,0,0,104,BUDINSKAYA O
DDDS-7210-300,50,20,29,5,0,0,0,104,3.552,0,0,0,0,104,TAYLOR R
DDDS-7214-300,66,18,13,4,2,0,1,104,3.653,0,0,0,0,104,TAYLOR R
DDDS-7230-300,4,13,49,14,20,2,2,104,2.745,0,0,0,0,104,GROGAN D
DDDS-7250-300,29,52,16,3,4,0,0,104,3.475,0,0,0,0,104,MCWHORTER A
DDDS-7270-300,8,19,33,16,22,4,2,104,2.745,0,0,0,0,104,REGAN D
DDDS-7274-300,98,5,1,0,0,0,0,104,3.966,0,0,0,0,104,REGAN D
DDDS-7290-300,41,11,22,13,14,2,1,104,3.182,0,0,0,0,104,REUBEN J
DDDS-7330-300,104,0,0,0,0,0,0,104,4.000,0,0,0,0,104,NOUREL-DIN A
DDDS-7350-300,24,24,28,15,10,3,0,104,3.120,0,0,0,0,104,ZARTMAN R
DDDS-7353-300,46,31,23,1,3,0,0,104,3.557,0,0,0,0,104,ZARTMAN R
DDDS-8004-300,92,0,7,0,0,0,0,99,3.929,0,0,0,0,99,NOUREL-DIN A
DDDS-8034-300,83,6,3,0,0,0,0,92,3.934,7,0,0,0,99,GANNAWAY M
DDDS-8060-300,14,11,35,14,15,4,6,99,2.712,0,0,0,0,99,SCHWEITZER J
DDDS-8060-301,0,0,0,0,6,0,0,6,2.000,0,0,0,0,6,SCHWEITZER J
DDDS-8064-300,33,4,21,2,39,0,0,99,2.949,0,0,0,0,99,SCHWEITZER J
DDDS-8080-300,28,16,49,3,3,0,0,99,3.318,0,0,0,0,99,PRATS L
DDDS-8084-300,70,25,4,0,0,0,0,99,3.833,0,0,0,0,99,PRATS L
DDDS-8140-300,18,32,40,6,3,0,0,99,3.282,0,0,0,0,99,MIRANDA M
DDDS-8160-300,54,34,9,0,2,0,0,99,3.696,0,0,0,0,99,GROGAN D
DDDS-8180-300,41,19,33,4,1,1,0,99,3.459,0,0,0,0,99,KONTOGIORGOS D
DDDS-8200-300,86,11,2,0,0,0,0,99,3.924,0,0,0,0,99,PRATS L
DDDS-8204-300,99,0,0,0,0,0,0,99,4.000,0,0,0,0,99,PRATS L
DDDS-8220-300,28,21,30,14,6,0,0,99,3.257,0,0,0,0,99,CRAMER G
DDDS-8224-300,10,21,44,13,9,0,0,97,3.051,2,0,0,0,99,BENINGER C
DDDS-8240-300,14,18,34,12,18,3,0,99,2.929,0,0,0,0,99,GONZALEZ M
DDDS-8241-300,44,16,24,8,7,0,0,99,3.414,0,0,0,0,99,GONZALEZ M
DDDS-8264-300,96,3,0,0,0,0,0,99,3.984,0,0,0,0,99,KOFFORD K
DDDS-8280-300,55,25,11,6,2,0,0,99,3.631,0,0,0,0,99,WRIGHT J
DDDS-8304-300,99,0,0,0,0,0,0,99,4.000,0,0,0,0,99,NAIR M
DDDS-8320-300,26,16,34,8,14,1,0,99,3.141,0,0,0,0,99,TAYLOR R
DDDS-8324-300,94,5,0,0,0,0,0,99,3.974,0,0,0,0,99,TAYLOR R
DDDS-8340-300,11,22,42,10,14,0,0,99,3.030,0,0,0,0,99,MCWHORTER A
DDDS-8360-300,25,21,35,11,7,0,0,99,3.232,0,0,0,0,99,REGAN D
DDDS-8364-300,24,26,39,5,5,0,0,99,3.297,0,0,0,0,99,REGAN D
DDDS-8370-300,97,0,2,0,0,0,0,99,3.979,0,0,0,0,99,COBB S
DDDS-8380-300,25,6,25,12,23,8,0,99,2.828,0,0,0,0,99,REUBEN J
DDDS-8400-300,22,16,32,22,7,0,0,99,3.121,0,0,0,0,99,ALLEN S
DDDS-8404-300,64,16,0,0,11,3,0,94,3.585,5,0,0,0,99,BOLOURI A
DDDS-8500-300,11,21,33,13,18,3,0,99,2.909,0,0,0,0,99,GROGAN D
DDDS-8600-300,23,15,32,16,10,3,0,99,3.065,0,0,0,0,99,ALLEN S
DDDS-8610-300,42,25,22,6,3,1,1,100,3.435,0,0,0,0,100,REGAN D
DDDS-9040-300,88,5,7,0,1,0,2,103,3.810,0,0,0,0,103,TALEGHANI ESFAH M
DDDS-9044-300,50,29,21,3,0,0,0,103,3.611,0,0,0,0,103,TALEGHANI ESFAH M
DDDS-9070-300,47,22,25,4,4,1,0,103,3.485,0,0,0,0,103,TAYLOR R
DDDS-9080-300,103,0,0,0,0,0,0,103,4.000,0,0,0,0,103,CRANE S
DDDS-9090-300,28,25,31,11,5,2,0,102,3.254,1,0,0,0,103,MCWHORTER A
DDDS-9110-300,33,14,21,7,18,10,0,103,2.985,0,0,0,0,103,REUBEN J
DDDS-9140-300,103,0,0,0,0,0,0,103,4.000,0,0,0,0,103,COBB S
DDDS-9190-300,46,20,30,3,3,0,0,102,3.504,1,0,0,0,103,PATEL P
DDDS-9200-300,90,10,3,0,0,0,0,103,3.922,0,0,0,0,103,LILLARD M
DDDS-9230-301,103,0,0,0,0,0,0,103,4.000,0,0,0,0,103,AUGSBURGER R
DEPARTMENT TOTAL:,3967,1332,1852,573,588,112,33,8457,3.362,20,0,0,0,8477
COLLEGE TOTAL:,3967,1332,1852,573,588,112,33,8457,3.362,20,0,0,0,8477
